Station,Date,Range,Hi,Lo
8726520,2007-08-20T04:00:00,1.581000,2.241000,0.660000
8726520,2007-08-27T04:00:00,2.572000,2.956000,0.384000
8726520,2007-09-04T04:00:00,2.373000,2.563000,0.190000
8726520,2007-09-10T04:00:00,2.117000,3.078000,0.961000
8726520,2007-09-17T04:00:00,1.811000,2.254000,0.443000
8726520,2007-09-24T04:00:00,2.099000,2.618000,0.519000
8726520,2007-09-25T04:00:00,1.880000,2.694000,0.814000
8726520,2007-10-01T04:00:00,2.550000,2.166000,-0.384000
8726520,2007-10-08T04:00:00,1.752000,2.992000,1.240000
8726520,2007-10-15T04:00:00,2.283000,2.697000,0.414000
8726520,2007-10-22T04:00:00,1.756000,2.412000,0.656000
8726520,2007-10-29T04:00:00,3.048000,2.595000,-0.453000
8726520,2007-11-05T05:00:00,1.244000,2.074000,0.830000
8726520,2007-11-13T05:00:00,2.549000,2.464000,-0.085000
8726520,2007-11-19T05:00:00,1.585000,1.792000,0.207000
8726520,2007-11-21T05:00:00,1.821000,2.015000,0.194000
8726520,2007-11-27T05:00:00,3.153000,3.124000,-0.029000
8726520,2007-12-03T05:00:00,1.151000,1.811000,0.660000
8726520,2007-12-10T05:00:00,1.817000,1.355000,-0.462000
8726520,2007-12-17T05:00:00,2.737000,3.370000,0.633000
8726520,2007-12-24T05:00:00,3.527000,2.861000,-0.666000
8726520,2008-01-02T05:00:00,0.962000,1.595000,0.633000
8726520,2008-01-07T05:00:00,2.854000,2.431000,-0.423000
8726520,2008-01-14T05:00:00,1.864000,2.169000,0.305000
8726520,2008-01-22T05:00:00,0.000000,-2.014000,-2.014000
8726520,2008-01-29T05:00:00,1.982000,1.785000,-0.197000
8726520,2008-02-04T05:00:00,2.569000,2.015000,-0.554000
8726520,2008-02-11T05:00:00,1.972000,1.513000,-0.459000
8726520,2008-02-18T05:00:00,3.412000,2.769000,-0.643000
8726520,2008-02-25T05:00:00,1.499000,1.539000,0.040000
8726520,2008-03-03T05:00:00,2.424000,1.627000,-0.797000
8726520,2008-03-10T04:00:00,1.738000,1.148000,-0.590000
8726520,2008-03-17T04:00:00,2.028000,2.018000,-0.010000
8726520,2008-03-24T04:00:00,2.136000,1.900000,-0.236000
8726520,2008-03-31T04:00:00,2.179000,1.654000,-0.525000
8726520,2008-04-08T04:00:00,2.671000,2.307000,-0.364000
8726520,2008-04-10T04:00:00,1.411000,2.313000,0.902000
8726520,2008-04-14T04:00:00,1.611000,1.785000,0.174000
8726520,2008-04-21T04:00:00,2.398000,2.697000,0.299000
8726520,2008-04-28T04:00:00,2.398000,2.523000,0.125000
8726520,2008-05-05T04:00:00,2.785000,2.759000,-0.026000
8726520,2008-05-12T04:00:00,2.310000,2.395000,0.085000
